Designator,Footprint,Quantity,Value,LCSC Part #
C1,CP_Radial_D5.0mm_P2.00mm,1,1 uF,
C2,C_Disc_D7.5mm_W2.5mm_P5.00mm,1,0.01 uF,
"D1, D10, D2, D3, D4, D5, D6, D7, D8, D9",LED_D3.0mm,10,LED,
J1,PinSocket_1x01_P2.54mm_Vertical,1,Conn_01x01_Socket,
J3,USB_C_Receptacle_GCT_USB4125-xx-x_6P_TopMnt_Horizontal,1,USB_C_Receptacle_PowerOnly_6P,
R1,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,1,470,
R2,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,1,1k,
"R3, R4",R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,2,5.1k,
RV1,Potentiometer_Vishay_T93YA_Vertical,1,50k,
U1,N16,1,4017,
U2,DIP-8_W7.62mm,1,NE555P,

